Date,Hour,Minute,Permit Type,Spaces Left
2023-09-27,0,15,Gold Permit,165
2023-09-27,0,15,Gold Permit,167
2023-09-27,0,15,Gold Permit,6
2023-09-27,0,15,Orange Permit,158
2023-09-27,0,15,Orange Permit,107
2023-09-27,0,15,Purple Permit,33
2023-09-27,0,15,Pay-By-Space,40
2023-09-27,1,22,Gold Permit,165
2023-09-27,1,22,Gold Permit,168
2023-09-27,1,22,Gold Permit,6
2023-09-27,1,22,Orange Permit,158
2023-09-27,1,22,Orange Permit,108
2023-09-27,1,22,Purple Permit,34
2023-09-27,1,22,Pay-By-Space,41
2023-09-27,2,3,Gold Permit,165
2023-09-27,2,3,Gold Permit,168
2023-09-27,2,3,Gold Permit,6
2023-09-27,2,3,Orange Permit,158
2023-09-27,2,3,Orange Permit,108
2023-09-27,2,3,Purple Permit,34
2023-09-27,2,3,Pay-By-Space,41
2023-09-27,2,19,Gold Permit,165
2023-09-27,2,19,Gold Permit,168
2023-09-27,2,19,Gold Permit,6
2023-09-27,2,19,Orange Permit,158
2023-09-27,2,19,Orange Permit,108
2023-09-27,2,19,Purple Permit,35
2023-09-27,2,19,Pay-By-Space,41
2023-09-27,2,31,Gold Permit,165
2023-09-27,2,31,Gold Permit,168
2023-09-27,2,31,Gold Permit,6
2023-09-27,2,31,Orange Permit,158
2023-09-27,2,31,Orange Permit,108
2023-09-27,2,31,Purple Permit,35
2023-09-27,2,31,Pay-By-Space,41
2023-09-27,2,46,Gold Permit,165
2023-09-27,2,46,Gold Permit,168
2023-09-27,2,46,Gold Permit,6
2023-09-27,2,46,Orange Permit,158
2023-09-27,2,46,Orange Permit,108
2023-09-27,2,46,Purple Permit,35
2023-09-27,2,46,Pay-By-Space,41
2023-09-27,3,8,Gold Permit,165
2023-09-27,3,8,Gold Permit,168
2023-09-27,3,8,Gold Permit,6
2023-09-27,3,8,Orange Permit,158
2023-09-27,3,8,Orange Permit,108
2023-09-27,3,8,Purple Permit,35
2023-09-27,3,8,Pay-By-Space,41
2023-09-27,3,26,Gold Permit,165
2023-09-27,3,26,Gold Permit,168
2023-09-27,3,26,Gold Permit,6
2023-09-27,3,26,Orange Permit,158
2023-09-27,3,26,Orange Permit,108
2023-09-27,3,26,Purple Permit,35
2023-09-27,3,26,Pay-By-Space,41
2023-09-27,3,33,Gold Permit,165
2023-09-27,3,33,Gold Permit,168
2023-09-27,3,33,Gold Permit,6
2023-09-27,3,33,Orange Permit,158
2023-09-27,3,33,Orange Permit,108
2023-09-27,3,33,Purple Permit,35
2023-09-27,3,33,Pay-By-Space,41
2023-09-27,3,46,Gold Permit,165
2023-09-27,3,46,Gold Permit,168
2023-09-27,3,46,Gold Permit,6
2023-09-27,3,46,Orange Permit,158
2023-09-27,3,46,Orange Permit,108
2023-09-27,3,46,Purple Permit,35
2023-09-27,3,46,Pay-By-Space,41
2023-09-27,4,4,Gold Permit,165
2023-09-27,4,4,Gold Permit,168
2023-09-27,4,4,Gold Permit,6
2023-09-27,4,4,Orange Permit,158
2023-09-27,4,4,Orange Permit,108
2023-09-27,4,4,Purple Permit,35
2023-09-27,4,4,Pay-By-Space,41
2023-09-27,4,21,Gold Permit,165
2023-09-27,4,21,Gold Permit,168
2023-09-27,4,21,Gold Permit,6
2023-09-27,4,21,Orange Permit,158
2023-09-27,4,21,Orange Permit,108
2023-09-27,4,21,Purple Permit,35
2023-09-27,4,21,Pay-By-Space,41
2023-09-27,4,31,Gold Permit,165
2023-09-27,4,31,Gold Permit,168
2023-09-27,4,31,Gold Permit,6
2023-09-27,4,31,Orange Permit,158
2023-09-27,4,31,Orange Permit,107
2023-09-27,4,31,Purple Permit,35
2023-09-27,4,31,Pay-By-Space,41
2023-09-27,4,46,Gold Permit,165
2023-09-27,4,46,Gold Permit,168
2023-09-27,4,46,Gold Permit,6
2023-09-27,4,46,Orange Permit,158
2023-09-27,4,46,Orange Permit,108
2023-09-27,4,46,Purple Permit,35
2023-09-27,4,46,Pay-By-Space,41
2023-09-27,5,5,Gold Permit,165
2023-09-27,5,5,Gold Permit,168
2023-09-27,5,5,Gold Permit,6
2023-09-27,5,5,Orange Permit,158
2023-09-27,5,5,Orange Permit,108
2023-09-27,5,5,Purple Permit,35
2023-09-27,5,5,Pay-By-Space,41
2023-09-27,5,26,Gold Permit,165
2023-09-27,5,26,Gold Permit,168
2023-09-27,5,26,Gold Permit,6
2023-09-27,5,26,Orange Permit,158
2023-09-27,5,26,Orange Permit,107
2023-09-27,5,26,Purple Permit,35
2023-09-27,5,26,Pay-By-Space,41
2023-09-27,5,34,Gold Permit,165
2023-09-27,5,34,Gold Permit,166
2023-09-27,5,34,Gold Permit,7
2023-09-27,5,34,Orange Permit,158
2023-09-27,5,34,Orange Permit,107
2023-09-27,5,34,Purple Permit,35
2023-09-27,5,34,Pay-By-Space,41
2023-09-27,5,45,Gold Permit,165
2023-09-27,5,45,Gold Permit,166
2023-09-27,5,45,Gold Permit,6
2023-09-27,5,45,Orange Permit,158
2023-09-27,5,45,Orange Permit,107
2023-09-27,5,45,Purple Permit,35
2023-09-27,5,45,Pay-By-Space,41
2023-09-27,6,2,Gold Permit,165
2023-09-27,6,2,Gold Permit,166
2023-09-27,6,2,Gold Permit,5
2023-09-27,6,2,Orange Permit,158
2023-09-27,6,2,Orange Permit,107
2023-09-27,6,2,Purple Permit,35
2023-09-27,6,2,Pay-By-Space,41
2023-09-27,6,17,Gold Permit,165
2023-09-27,6,17,Gold Permit,165
2023-09-27,6,17,Gold Permit,4
2023-09-27,6,17,Orange Permit,158
2023-09-27,6,17,Orange Permit,107
2023-09-27,6,17,Purple Permit,35
2023-09-27,6,17,Pay-By-Space,41
2023-09-27,6,31,Gold Permit,165
2023-09-27,6,31,Gold Permit,165
2023-09-27,6,31,Gold Permit,4
2023-09-27,6,31,Orange Permit,158
2023-09-27,6,31,Orange Permit,106
2023-09-27,6,31,Purple Permit,35
2023-09-27,6,31,Pay-By-Space,41
2023-09-27,6,46,Gold Permit,165
2023-09-27,6,46,Gold Permit,165
2023-09-27,6,46,Gold Permit,4
2023-09-27,6,46,Orange Permit,158
2023-09-27,6,46,Orange Permit,106
2023-09-27,6,46,Purple Permit,35
2023-09-27,6,46,Pay-By-Space,41
2023-09-27,7,10,Gold Permit,165
2023-09-27,7,10,Gold Permit,163
2023-09-27,7,10,Gold Permit,2
2023-09-27,7,10,Orange Permit,158
2023-09-27,7,10,Orange Permit,104
2023-09-27,7,10,Purple Permit,35
2023-09-27,7,10,Pay-By-Space,41
2023-09-27,7,40,Gold Permit,165
2023-09-27,7,40,Gold Permit,151
2023-09-27,7,40,Gold Permit,0
2023-09-27,7,40,Orange Permit,157
2023-09-27,7,40,Orange Permit,92
2023-09-27,7,40,Purple Permit,34
2023-09-27,7,40,Pay-By-Space,39
2023-09-27,7,56,Gold Permit,165
2023-09-27,7,56,Gold Permit,138
2023-09-27,7,56,Gold Permit,0
2023-09-27,7,56,Orange Permit,157
2023-09-27,7,56,Orange Permit,78
2023-09-27,7,56,Purple Permit,33
2023-09-27,7,56,Pay-By-Space,38
2023-09-27,8,11,Gold Permit,165
2023-09-27,8,11,Gold Permit,110
2023-09-27,8,11,Gold Permit,0
2023-09-27,8,11,Orange Permit,153
2023-09-27,8,11,Orange Permit,68
2023-09-27,8,11,Purple Permit,31
2023-09-27,8,11,Pay-By-Space,37
2023-09-27,8,25,Gold Permit,165
2023-09-27,8,25,Gold Permit,80
2023-09-27,8,25,Gold Permit,0
2023-09-27,8,25,Orange Permit,151
2023-09-27,8,25,Orange Permit,53
2023-09-27,8,25,Purple Permit,28
2023-09-27,8,25,Pay-By-Space,32
2023-09-27,8,31,Gold Permit,163
2023-09-27,8,31,Gold Permit,67
2023-09-27,8,31,Gold Permit,0
2023-09-27,8,31,Orange Permit,150
2023-09-27,8,31,Orange Permit,45
2023-09-27,8,31,Purple Permit,26
2023-09-27,8,31,Pay-By-Space,31
2023-09-27,8,46,Gold Permit,162
2023-09-27,8,46,Gold Permit,31
2023-09-27,8,46,Gold Permit,0
2023-09-27,8,46,Orange Permit,147
2023-09-27,8,46,Orange Permit,28
2023-09-27,8,46,Purple Permit,24
2023-09-27,8,46,Pay-By-Space,27
2023-09-27,9,3,Gold Permit,144
2023-09-27,9,3,Gold Permit,0
2023-09-27,9,3,Gold Permit,0
2023-09-27,9,3,Orange Permit,141
2023-09-27,9,3,Orange Permit,9
2023-09-27,9,3,Purple Permit,21
2023-09-27,9,3,Pay-By-Space,20
2023-09-27,9,24,Gold Permit,123
2023-09-27,9,24,Gold Permit,0
2023-09-27,9,24,Gold Permit,0
2023-09-27,9,24,Orange Permit,134
2023-09-27,9,24,Orange Permit,0
2023-09-27,9,24,Purple Permit,16
2023-09-27,9,24,Pay-By-Space,18
2023-09-27,9,31,Gold Permit,119
2023-09-27,9,31,Gold Permit,0
2023-09-27,9,31,Gold Permit,0
2023-09-27,9,31,Orange Permit,125
2023-09-27,9,31,Orange Permit,0
2023-09-27,9,31,Purple Permit,15
2023-09-27,9,31,Pay-By-Space,17
2023-09-27,9,46,Gold Permit,91
2023-09-27,9,46,Gold Permit,0
2023-09-27,9,46,Gold Permit,0
2023-09-27,9,46,Orange Permit,98
2023-09-27,9,46,Orange Permit,0
2023-09-27,9,46,Purple Permit,13
2023-09-27,9,46,Pay-By-Space,13
2023-09-27,10,4,Gold Permit,68
2023-09-27,10,4,Gold Permit,0
2023-09-27,10,4,Gold Permit,0
2023-09-27,10,4,Orange Permit,55
2023-09-27,10,4,Orange Permit,0
2023-09-27,10,4,Purple Permit,10
2023-09-27,10,4,Pay-By-Space,7
2023-09-27,10,22,Gold Permit,49
2023-09-27,10,22,Gold Permit,0
2023-09-27,10,22,Gold Permit,0
2023-09-27,10,22,Orange Permit,35
2023-09-27,10,22,Orange Permit,0
2023-09-27,10,22,Purple Permit,5
2023-09-27,10,22,Pay-By-Space,1
2023-09-27,10,31,Gold Permit,43
2023-09-27,10,31,Gold Permit,0
2023-09-27,10,31,Gold Permit,0
2023-09-27,10,31,Orange Permit,32
2023-09-27,10,31,Orange Permit,0
2023-09-27,10,31,Purple Permit,4
2023-09-27,10,31,Pay-By-Space,2
2023-09-27,10,46,Gold Permit,29
2023-09-27,10,46,Gold Permit,0
2023-09-27,10,46,Gold Permit,0
2023-09-27,10,46,Orange Permit,22
2023-09-27,10,46,Orange Permit,0
2023-09-27,10,46,Purple Permit,3
2023-09-27,10,46,Pay-By-Space,4
2023-09-27,11,7,Gold Permit,14
2023-09-27,11,7,Gold Permit,0
2023-09-27,11,7,Gold Permit,0
2023-09-27,11,7,Orange Permit,0
2023-09-27,11,7,Orange Permit,0
2023-09-27,11,7,Purple Permit,2
2023-09-27,11,7,Pay-By-Space,6
2023-09-27,11,28,Gold Permit,9
2023-09-27,11,28,Gold Permit,0
2023-09-27,11,28,Gold Permit,0
2023-09-27,11,28,Orange Permit,1
2023-09-27,11,28,Orange Permit,0
2023-09-27,11,28,Purple Permit,0
2023-09-27,11,28,Pay-By-Space,2
2023-09-27,11,38,Gold Permit,3
2023-09-27,11,38,Gold Permit,0
